ANZSCO_Code,Occupation,ANZSCO Code  DIGITS
393299,Other Clothing Trades Workers,6
394211,Furniture Finishers,6
394212,Picture Framers,6
394213,Wood Machinists,6
394214,Wood Turners,6
394299,Other Wood Machinists and Wood Trades Workers,6
399111,Boat Builders and Repairers,6
399112,Shipwrights,6
399211,Chemical Plant Operators,6
399212,Gas and Petroleum Operators,6
399213,Power Generation Plant Operators,6
399311,Gallery and Museum Technicians,6
399312,Library Technicians,6
399511,Broadcast Transmitter Operators,6
399512,"Camera Operators (Film, Television or Video)",6
399513,Light Technicians,6
399514,Make Up Artists,6
399515,Musical Instrument Makers and Repairers,6
399516,Sound Technicians,6
399517,Television Equipment Operators,6
399599,Other Performing Arts Technicians,6
399911,Divers,6
399912,Interior Decorators,6
399913,Optical Dispensers,6
