ANZSCO Code 4 DIGITS,ANZSCO Code - Copy,Occupation,ANZSCO Code  DIGITS
5995,599514,Noxious Weeds and Pest Inspectors,6
5995,599515,Social Security Assessors,6
5995,599516,Taxation Inspectors,6
5995,599517,Train Examiners,6
5995,599518,Transport Operations Inspectors,6
5995,599521,Water Inspectors,6
5995,599599,Other Inspectors and Regulatory Officers,6
5996,599611,Insurance Investigators,6
5996,599612,Insurance Loss Adjusters,6
5996,599613,Insurance Risk Surveyors,6
5999,599912,"Production Assistants (Film, Television, Radio or Stage)",6
5999,599913,Proof Readers,6
5999,599914,Radio Despatchers,6
5999,599915,Clinical Coders,6
5999,599916,Facilities Administrators,6
5999,599999,Clerical and Administrative Workers (not covered elsewhere),6
6111,611111,Auctioneers,6
6111,611112,Stock and Station Agents,6
6113,611311,Sales Representatives (Building and Plumbing Supplies),6
6113,611312,Sales Representatives (Business Services),6
6113,611313,Sales Representatives (Motor Vehicle Parts and Accessories),6
6113,611314,Sales Representatives (Personal and Household Goods),6
6113,611399,Other Sales Representatives,6
6121,612111,Business Brokers,6
6121,612112,Property Managers,6
6121,612113,Real Estate Agency Principals,6
6121,612114,Real Estate Agents,6
6121,612115,Real Estate Representatives,6
6213,621311,Motor Vehicle and Caravan Salespersons,6
6213,621312,Motor Vehicle Parts Interpreters,6
6217,621711,Cash Van Salespersons,6
6217,621712,Door-to-door Salespersons,6
6217,621713,Street Vendors,6
6219,621911,Materials Recyclers,6
6219,621912,Rental Salespersons,6
6219,621999,Sales Assistants and Salespersons (not covered elsewhere),6
6311,631111,Checkout Operators,6
6311,631112,Cashiers,6
6391,639111,Models,6
6391,639112,Sales Demonstrators,6
6392,639211,Retail Buyers,6
6392,639212,Wool Buyers,6
6394,639411,Ticket Sellers,6
6394,639412,Transport Conductors,6
7111,711111,Clay Products Machine Operators,6
7111,711112,Concrete Products Machine Operators,6
7111,711113,Glass Production Machine Operators,6
7111,711114,Stone Processing Machine Operators,6
7111,711199,"Other Clay, Concrete, Glass and Stone Processing Machine Operators",6
7113,711311,Paper Products Machine Operators,6
7113,711313,Sawmilling Operators,6
7113,711314,Other Wood Processing Machine Operators,6
7115,711511,Plastic Cablemaking Machine Operators,6
7115,711512,Plastic Compounding and Reclamation Machine Operators,6
7115,711513,Plastics Fabricators and Welders,6
7115,711514,Plastics Production Machine Operators (General),6
7115,711515,Reinforced Plastic and Composite Production Workers,6
7115,711516,Rubber Production Machine Operators,6
7115,711599,Other Plastics and Rubber Production Machine Operators,6
7117,711711,Footwear Production Machine Operators,6
7117,711712,Hide and Skin Processing Machine Operators,6
7117,711713,Knitting Machine Operators,6
7117,711714,Textile Dyeing and Finishing Machine Operators,6
7117,711715,Weaving Machine Operators,6
7117,711716,Yarn Carding and Spinning Machine Operators,6
7117,711799,Other Textile and Footwear Production Machine Operators,6
7119,711911,Chemical Production Machine Operators,6
7119,711912,Motion Picture Projectionists,6
7119,711913,Sand Blasters,6
7119,711914,Sterilisation Technicians,6
7119,711999,Machine Operators (not covered elsewhere),6
7122,712211,Drillers,6
7122,712212,Miners,6
7122,712213,Shot Firers,6
7129,712911,Boiler and Engine Operators,6
7129,712912,Bulk Materials Handling Plant Operators,6
7129,712913,Cement Production Plant Operators,6
7129,712914,Concrete Batching Plant Operators,6
7129,712915,Concrete Pump Operators,6
7129,712916,Paper and Pulp Mill Operators,6
7129,712917,Railway Signal Operators,6
7129,712918,Train Controllers,6
7129,712921,Waste Water and Water Plant Operators,6
7129,712922,Weighbridge Operators,6
