Organisation_Code,Legal_Name,Is_RTO,Status,Registration_Manager,Legal_Authority,Head_Office_Physical_Address,Head_Office_Location_State,Latitude,Longitude,RTO_Type,NSW_Delivery_Approved,VIC_Delivery_Approved,QLD_Delivery_Approved,SA_Delivery_Approved,WA_Delivery_Approved,TAS_Delivery_Approved,NT_Delivery_Approved,ACT_Delivery_Approved
41568,INTERNATIONAL INSTITUTE OF SYDNEY PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 3 20-22 Macquarie St, PARRAMATTA, NSW, 2150",New South Wales,-33.81461,151.00209,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41573,HATS QLD PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 14 65 Mark St, NORTH MELBOURNE, VIC, 3051",Victoria,-37.80162,144.95501,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41577,Mechanical Institute of Training and Technology Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"113 Burgundy St, HEIDELBERG, VIC, 3084",Victoria,-37.75637,145.06623,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41578,IQRA Vocational Education and Training Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"61 Jerrabomberra Ave, NARRABUNDAH, ACT, 2604",Australian Capital Territory,-35.34192,149.15386,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41587,Austec Institute Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 4 118 Walker St, NORTH SYDNEY, NSW, 2060",New South Wales,-33.83771,151.2088,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41590,Sydney College of Natural Therapy Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Suite 2 Level 2 2 Oxford Rd, 2 Oxford Street, INGLEBURN, NSW, 2565",New South Wales,-33.9976,150.86511,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41592,PCR POLYWELD PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit C02 Harbour City Central, Harbour Road, Mackay, QLD, 4740",Queensland,-21.11294,149.2074,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41593,Australian Capital Group Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 2 17 University Ave, CANBERRA, ACT, 2601",Australian Capital Territory,-35.28021,149.1255,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41594,ALTUS TRAINING PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"3 Thomas Holt Dr, MACQUARIE PARK, NSW, 2113",New South Wales,-33.78733,151.12878,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41595,OPEC SYSTEMS PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"7 Narabang Way, BELROSE, NSW, 2085",New South Wales,-33.70563,151.20981,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41597,CLINTON EDUCATION PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 9 313 La Trobe St, MELBOURNE, VIC, 3000",Victoria,-37.8076,144.97093,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
45002,1010 ID PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 206, 3-5 Queen Street, Rosebery, NSW, 2018",New South Wales,-33.91475,151.20126,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
45003,Australian Ultimate Training College Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 2 83 Kent Way, MALAGA, WA, 6090",Western Australia,-31.85378,115.88001,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
45004,AUSTRALIAN COLLEGE OF TEACHER AIDES AND CHILDCARE PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"23 Edgar St, BOWEN HILLS, QLD, 4006",Queensland,-27.44682,153.03733,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
